     MBA.cp7	MBA.cp4	MBA.cx2	MBA.cc2	MBA.cc4	MBA.cx1	MBA.cp3	MBA.cp6	MBA.cp5	MBA.cc6	MBA.cx4	MBA.cp2	MBA.cc3	MBA.cp1	MBA.cx3	MBA.cc5	MBA.cx5	MBA.cc1
1023_at	5.11536707262274	5.26571939993681	5.19076085529572	5.21912915989482	5.20209447012676	5.32874422746127	5.28532266931235	5.22122987453378	5.32435606762698	5.46063573575573	5.15271251957685	5.38771666026792	5.25477146600771	5.04733037127165	5.18141113449076	5.2519838750546	5.32663566896827	5.1374515362229
1024_at	5.47064360017338	5.4926650947333	5.93713647860682	5.46495664729358	5.49809858055769	5.49454894864487	5.46772790943582	5.48252073216137	5.42368191956103	5.60939656079718	5.28989297511812	5.54462342731028	5.55861746940831	5.31064556637992	5.5271049733535	5.56662412997788	5.79027223349532	5.41917152123916
1025_g_at	3.88816327620608	3.64421782939832	4.21149239132548	3.8981872682841	3.82728492148327	3.93427137059221	4.10861478351031	3.93182222648102	4.160675206028	4.19257539192227	4.11640522716794	4.07304501071141	4.15386008320271	3.89529429680144	4.09091466260709	4.11137492378391	4.28480939138196	3.9957700380038
1026_s_at	6.29273577838002	6.08753662178981	6.92130497004045	6.3147191845089	6.24305128510027	6.26829333535304	6.24547115769712	6.16947857425502	6.42338739064219	6.54383646418964	6.22262981265448	6.42163724118494	6.33426117519977	6.23964985259659	6.38828495964599	6.60733232564295	6.52727914446265	6.19931325508378
1027_at	4.99607181746988	5.00993461032595	5.13760561527535	5.10052464771352	4.93890769084856	4.85522520774266	5.01205218974869	4.83660243837566	4.97342161583511	4.94165313107117	5.0765342286386	4.98885947590723	5.08568846900961	4.72703452673242	5.06498345754692	5.0494047187811	4.95198700002107	4.92312723115062
1028_at	4.44607239466843	4.1868817927162	4.5552051151111	4.54321652616846	4.25448886065622	4.31357766883013	4.41440894249989	4.33692242354948	4.42685167625985	4.55950571413846	4.15120221675037	4.3279285434751	4.31264532255847	4.17632218299993	4.30761730275154	4.3987935308657	4.04705554894091	4.11094457199287
1029_s_at	3.54736488051734	3.14461696052892	3.89151912366218	3.8164091928249	3.39940378632292	3.41222524983417	3.30202123010818	3.24440715931302	3.42905953420669	3.48872970616573	3.19432676998954	3.53293233103966	3.34466158805752	3.14569583526981	3.08827623419486	3.22034621864519	3.60326780574066	3.10756744475968
102_at	2.7595896396363	2.98557059501817	2.98781944574629	3.09341964284166	2.93429684861853	3.05503928455999	3.01046130195679	2.86142218829074	2.88142531716363	2.97992139211215	2.77153346194104	2.77283904904436	2.82645357757398	2.87726972938514	2.82321462955123	2.78635869735828	3.24285278129621	2.58269522477182
1030_s_at	7.09857101586708	7.07544733764465	6.73057370848021	7.28623036143109	6.66433567449594	6.77454189540445	6.63259951982583	6.83613867372224	6.8989827575883	7.04113226731199	6.58116372485003	6.75395653542663	6.49312726331203	6.70077576360013	6.62660448398044	6.78790464517422	7.05860550967022	6.41045871527054
1031_at	4.20476728402256	4.38196204853273	3.73682414678617	3.96677377075642	4.3684855730011	4.22210091001906	4.57255197548025	4.79682659342822	4.36396576343186	3.82062254917182	4.34403150925359	4.69110801167458	4.25106311926134	4.60209478014083	4.36767155808326	4.08692061624362	3.84940279870799	4.11959893494513
1032_at	6.78213500341836	6.85365078123034	6.97872266542249	7.02617333622977	6.92826671086027	6.92552278540468	6.82867429377067	7.11585953104351	6.98711631237634	7.09442098043837	6.7936916472167	7.04463605644724	6.9714430169339	6.78106773252208	6.84028417568803	6.81033370403299	7.10960397973793	6.89548704364798
1033_g_at	4.53861500840433	4.33980568589312	4.90101723183435	4.74906712049033	4.45337686021333	4.57070345734899	4.56205924437509	4.53294364794895	4.75682060107205	4.707814441989	4.55668692123938	4.73003208614308	4.67068520620292	4.44677249310612	4.4916934161887	4.58292797890449	4.67576237042336	4.4380086772093
1034_at	5.44619834517032	5.44024879371157	5.71163510585778	5.49049781909667	5.83082668415806	5.57254305111262	5.53300151548735	5.69545807788396	5.5395970963866	5.58834243490179	5.65979978858185	5.69973972852772	5.65055775115598	5.54269541696762	5.48805331567663	5.52620532664231	5.63475505938886	5.61504020994822
1035_g_at	5.75931184609949	5.84177513445326	5.9326739274713	5.7908764712021	5.88507833712593	5.98435852991221	5.87369754934522	5.94040885031007	5.82618864414673	5.88297842020651	5.99449256063335	5.80656713532224	5.90382472399342	5.80273359527417	5.84629869676544	5.73201628298515	5.81046210393623	6.05369227523686
1036_at	2.68891137415928	2.59850621987157	2.35484387663594	2.90349891742081	2.61662957604892	2.48315463282455	2.43596037280281	2.33551376844787	2.73299967152042	2.67945542766958	2.4205777102108	2.44701202849968	2.6179779810926	2.47843861021502	2.38793529341308	2.31778188583667	2.65734860493318	2.49220782037461
1037_at	3.34750960270532	3.17228473447181	3.1780890186473	3.2285825728347	3.27406953302461	3.41825258011254	3.17895951003405	3.33877335003545	3.17623970408091	3.17028793453254	3.16945605503122	3.20884460284827	3.17886338523973	3.05643003957252	3.20055485769906	3.04844196234052	3.07539692814798	3.16043815309606
1038_s_at	5.69971133790341	6.05374637742758	4.85039615090365	5.60413789419904	6.61767510401747	5.73062559865917	5.79336765933728	6.39258572106796	5.34451173259437	5.33702039320116	6.70643077713589	5.50508251821831	5.82078219172865	6.07493127406385	6.44033038312003	5.52342194278148	5.28330360194921	6.56624478145144
1039_s_at	6.08805935604396	5.98097763076845	5.43633968244441	5.60986795605834	6.15509644160251	6.04031673915198	4.99386267642679	5.28873373942285	5.10110143587095	5.00812058717510	5.42655860987457	5.02930294704668	5.28969007236012	5.19125704852252	5.21195231057978	5.28621622913722	4.95537775952874	5.38831646890744
103_at	4.7041880742526	4.65385443541035	4.73020630149865	4.72738275783961	4.48557097619778	4.55033646348972	4.82407622632431	4.6684825375602	4.78506354140192	4.98514109820003	4.4611504384705	4.68808650104618	4.70677370756134	4.50722849857712	4.61722421216811	4.78251917187704	4.67981540897044	4.51527106304173
1040_s_at	4.63380949073225	4.61355598594934	4.61165552900765	4.6303740266332	4.68208140703676	4.61291172155693	4.6012584142129	4.51317950882639	4.46995873112237	4.60549550967311	4.59561802997955	4.51514232851479	4.40160494234332	4.71070425024379	4.54053248529611	4.70421592209597	4.51725228936507	4.50453090248684
1041_at	4.45096062861998	4.54499748860798	4.42794842887625	4.40294225222602	4.48094494404408	4.49199327591773	4.40764805693755	4.38450055950079	4.40882938787342	4.38363267727651	4.34305659962638	4.49186594322773	4.34732418184794	4.3339281624269	4.46093340976271	4.38300874570719	4.35093039745655	4.3056643005116
1042_at	2.5596981572123	2.54292776386601	2.91822455737463	2.58697624958773	2.60050667628238	2.53253529307441	2.6863208565579	2.49048998126408	2.53384723655232	2.731996116511	2.72269303561544	2.49070903136146	2.68169478914104	2.44438491157164	2.64483642062187	2.4791412464537	2.62647384028338	2.68030314913048
1043_s_at	3.01466308781506	3.02021165109909	2.9681977796525	2.99906532205069	3.13403719662394	3.02438884397894	2.97544890704574	2.98998322225632	3.03224920031162	3.11838582609379	3.14931225707565	3.0571758079366	2.8612857050979	2.86584364478644	2.83081783036106	2.99064440792713	2.93962252002678	3.06984844671113
1044_s_at	4.00786323453133	4.01791256916856	3.36419042275864	3.77808541993093	3.62876282577497	3.98224363078154	3.9307495614499	4.13097781913407	3.96874595642487	3.89647248498985	4.04045109082835	3.85589989293387	3.82823518920263	3.93299024569882	4.06282732857571	4.0891044954003	4.10334286385492	3.74627896401988
1045_s_at	3.31675668422636	2.96239121167114	3.18043093393672	3.05159747793136	3.14822709017959	3.22501254132327	2.82845414668329	2.87280384682982	2.78265574434744	2.96175291201932	2.91091953980009	2.79563271026535	2.93511087882495	2.8832745543524	2.87357820559486	2.80640111223027	2.79376590244088	2.87905150457875
1046_at	4.27966293849791	4.44361765431223	3.67194685594575	4.24691047811261	4.36971686088164	4.28852118400097	3.94228951049329	4.1512484147783	4.08199256143674	3.81523529288757	4.29416095897247	3.8756622572799	3.72835036834024	3.72364460279485	3.79227846651480	3.78556443974132	4.00700261648965	4.19000288502482
1047_s_at	5.63304752968703	5.41236593172014	5.99346615138366	5.54070405380152	5.35912896068371	5.35758353538561	5.05128272805988	5.08702964137504	4.97348216289445	5.05734829918902	4.92464197793796	5.13456405743125	5.11669370321838	4.776734622035	4.98834549306599	5.02455613021992	4.99609236641765	4.88232226034248
1048_at	3.5960447902404	3.62532153397593	3.89471487602467	3.69076652516292	3.61925595613666	3.68989635048993	3.77636684726887	3.63884605610211	3.87125041412571	3.82080066148285	3.7050789968648	3.79837735949672	3.71348443239465	3.65404711331235	3.80370344334796	3.7714558780295	3.85346699645528	3.62367043866738
1049_g_at	5.62966547209217	5.68355457726408	6.15233434806472	5.68882602237542	5.69046224461275	5.69062308415265	5.74576271754704	5.7106099603046	5.82151808498968	5.83798680253069	5.67307491500007	5.86940475692138	5.90827635560501	5.70332084288785	5.68905555717081	5.74358180605076	5.8188326010566	5.65062041772762
104_at	5.00210510891451	4.86437717440165	5.33367057536529	4.81519976630597	4.96630930422826	4.97216000217378	4.83168852295441	4.82931236272198	4.82651150005203	4.72723604018732	4.74358449119121	4.95509462922671	4.8560241348392	4.71956821106369	4.87390065786529	4.68111780926392	4.61323054647	4.66741206975839
1050_at	2.2734530143164	2.37656177693673	2.22683974481716	2.22009898934765	2.29810543717559	2.49737176712093	2.28509947695026	2.29603647036488	2.2851855284106	2.33043568187425	2.37447969651613	2.26243317914292	2.2103321733879	2.12807177852368	2.22144599691816	2.28568399517	2.29939441886561	2.16778606663824
1051_g_at	3.82622873938841	3.89601779553411	4.0816855940788	3.98780499441523	3.75834371706089	4.00677072423876	3.80725619668623	3.86913347245082	3.81490901784494	3.89844075454175	3.77422934765862	3.89540060579265	3.7981693758927	3.88564086241803	3.89026624634073	3.84449677259466	4.20119620939179	3.6296676828833
1052_s_at	4.23150637447691	6.13344950763705	4.50915729543082	5.33223883137857	5.80467192808906	4.17266877715813	6.22170370507353	6.86858388173373	4.73890083683591	6.16776932037028	6.25230645742755	5.01065147773868	5.03528310684822	6.54902823821755	6.84605740632629	4.89492111414343	5.72073973821636	6.63015368375
1053_at	5.36181762710862	5.36708649517589	5.41055815839899	5.15849339797633	5.6145831407873	5.43754809628837	5.21107380081105	5.24796761326049	5.04740474909078	5.10166494108906	5.4330834204651	5.48279926147193	5.16106015426159	5.08880145378891	5.15306097411892	5.2627304482012	5.10698962803335	5.21021508349836
1054_at	3.89141482906544	3.84908747946991	3.80092159543403	3.64721284567169	4.1994807329923	3.82444292680504	3.65854257005156	3.71900009205033	3.70904126968781	3.6562876382666	3.93781610742516	3.74497223177265	3.67479845672347	3.75695831279312	3.61331170870958	3.55856404744987	3.75974323125364	3.96806042766851
1055_g_at	5.22326457670608	4.96742591315702	4.90474514444892	5.01749099689393	5.75397377215218	5.1544449469092	4.72227183671133	4.71076414010239	4.73069991980849	4.48858252634509	5.04423315501616	4.95435619508077	4.70664122530667	4.81463236947345	4.67457513212626	4.7703716271136	4.67639361790606	4.87533022909663
1056_s_at	3.90227611439418	3.75374739533173	4.15369677101592	4.17664227705241	3.70105675217172	3.80078033502243	3.0870692728399	3.110598371866	3.06760736801752	3.17213172136059	3.12813589242643	3.32272646814968	3.1004245329392	3.08736688033615	3.27537583633806	3.14862331140715	3.21710226722812	2.90639539514241
1057_at	4.86818018908561	4.81563193747723	5.01661865484687	5.05491141056378	4.84169432160389	4.99225392450086	4.83605943560183	4.57022085766546	4.85717000018377	5.03295576253323	4.65827488875304	4.93215567599671	4.86191859960902	4.99569186141761	5.00994998585917	4.83578813751297	5.05945642947909	4.78385071004737
1058_at	8.03517556621529	7.99552643721192	7.61468357415641	8.24189745116541	8.06941526908568	8.13981371440348	7.944416701128	7.9239585082123	7.84589994607497	7.50637448880837	8.01252393406029	7.68419435112265	7.73915549083911	8.07669534816857	7.89907041214231	7.95601172422843	7.4945575516281	7.93726741904317
1059_at	4.03216659345397	4.13312547354954	3.66416123700418	4.08499323431519	3.48471206583042	3.89957944290233	4.21015015981814	4.16824890971246	4.45987450293952	4.34238315314378	3.89082467272737	3.94816738040222	3.88555454804302	4.48530990325417	4.26381296792136	4.57735421143808	4.56312240558012	3.86852226901506
105_at	3.17322799465817	3.20388248777846	3.25623031624828	3.11387032712089	3.1736657841424	3.49527333349258	3.25329828773389	3.34969225287633	3.39389274894336	3.30832724174745	3.19047698621661	3.15848149147962	3.31771000043998	3.07885500824881	3.18054386236021	3.17171352709349	3.47773960722011	3.27058351741264
1060_g_at	6.2720800599873	6.14514955574387	6.45994669084054	6.2475912442621	6.28456153246638	6.36715233440802	6.33449162894777	6.35163315451386	6.32255091771455	6.74264397490623	6.2792498021759	6.30668730251182	6.25011859108548	6.47433557360554	6.49267148631232	6.50601633161879	6.81122727573907	6.24042013770591
1061_at	5.38378555652864	5.29884186106989	5.97740091722879	5.389768166748	5.39218517121839	5.29814559770592	5.345858677079	5.4519314443874	5.35882888225693	5.57466858980624	5.44777954377597	5.4950509323096	5.418935223135	5.16819941405186	5.42561780595379	5.30403081153045	5.5214938695097	5.2961884303188
1062_g_at	3.71151980190328	3.70617187698516	3.91650693633382	3.73139599807354	3.77970605288274	3.76309910504825	3.73070894900039	4.0627459162508	3.63853017332259	3.74157541237717	4.17609511318187	3.69602890417998	3.98648343264316	3.85449867274558	3.98102449423391	3.72544205358355	3.67371453204881	4.14457604722101
1063_s_at	7.52775791924169	7.31882671555236	7.42898020574753	7.39910952848412	6.81047142837153	7.28929822324903	7.45158822671077	7.45409593490668	7.56164729145155	7.66549230734765	6.876497589879	7.4360221515385	7.33394652022503	7.38933949738194	7.5132129627379	7.66729516408056	7.58987656428364	6.84792820715464
1064_at	4.94946664338758	4.9633284701907	4.21783341426863	4.75215635053833	5.27768259203306	4.82970283547554	4.97316491894133	5.11980841633765	5.02857476096232	4.96851653702051	5.37212546189044	4.89844100074296	4.87998374040681	4.89677493240012	4.95930370945938	5.0019673421837	4.57899832911952	5.2284433193767
1065_at	5.05469556819431	5.29841686413857	5.21385772196542	5.19558992822978	6.10959781839816	5.26764987409491	4.60227760904856	4.28733903222663	4.75473703398116	4.56714632698613	4.93095290753312	4.75969037002869	4.80802591138272	4.50388556169199	4.40218895299655	4.20802823445638	4.51106177516281	4.7158653400592
1066_at	4.58802840833221	4.46437882632395	4.5835682564092	4.53507402299776	4.50072947171459	4.71112224872499	4.65704942052396	4.56424815281237	4.58799139772381	4.54673658737914	4.64096150883398	4.71156976767771	4.80918528216176	4.43989433332954	4.57521822634459	4.59530235200918	4.71301668191719	4.42336390578339
1067_at	3.53467178618538	3.44614221453036	4.20134789542035	3.73468086536853	3.4581633262331	3.52946759250088	3.67696542524452	3.50679516551902	3.59724285424827	3.82531014960624	3.55126559431491	3.67599704404993	3.73971799509544	3.38041802733017	3.48030153185253	3.83946940764127	3.93888488661636	3.51820694084559
1068_g_at	6.711747421832	6.57688670079932	6.66886288519423	6.61124011375231	6.64590052317787	6.61290692574659	6.50222103007154	6.55574257259366	6.49728004929169	6.63225439634866	6.54958358907893	6.55269181841217	6.69618889190306	6.48692901215307	6.47513637375869	6.50235925166351	6.37863881086934	6.38507614000514
1069_at	3.14223381849378	3.1986277575973	3.08214612438876	2.91752084571106	3.62308531984292	3.05637053826013	4.33073996830324	3.9233178874079	3.7896700508684	4.55054898762023	4.27834620553188	3.87264547660112	3.8507593856384	4.15251167852437	3.76039907479521	4.17750149421983	4.3607276068176	4.2668594218435
106_at	4.80973345955683	4.50278679559332	5.0858096776807	4.81518602226742	4.46269356486551	4.63630075578436	4.43645276820318	4.57653798649627	4.36855634900143	4.68312355975912	4.56300055600871	4.63666043712992	4.6211732042948	4.18076801098506	4.49899644542727	4.45501140441484	4.40938676486612	4.5264113460493
1070_at	5.26875784652065	5.09009264328402	5.1496037784305	4.87005058339075	5.49289177746285	5.06645983940856	5.20889503916327	5.09166272304766	4.89487103383633	4.82702974989037	5.27751356855996	5.03555712370092	5.08359464550595	5.19739828048554	5.05316083389619	5.10006715222959	4.89150000615646	5.1609098402044
1071_at	5.04043167471496	4.91464759971144	5.45526774391595	5.24954207615882	5.18731842133482	5.16679435059686	5.31257036996433	5.16948298945372	5.18317552751147	5.45632336411044	5.17107345025119	5.29378515611405	5.36287363946147	5.21554633262289	5.34795684270938	5.24292383411753	5.38505876223794	5.16668022515901
